ID_CHARGEST,DISTRICT_ID,DISTRICT,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,STREET,ST_NUMBER,LOCATION,CONECTOR_INFO,CAPACITY,OPERATOR
54,18,Villa de Vallecas,1,Casco Histórico de Vallecas,Parcela B14 Anexo Calle 3,3,Mercamadrid,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,GIC (CIRCUTOR)
55,3,Retiro,4,Ibiza,Calle Ibiza 1,1,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
56,3,Retiro,5,Jerónimos,"Plaza de la Lealtad, s/n",,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,GIC
57,11,Carabanchel,6,Buenavista,"Calle Hilario Herranz Establos, 20",20,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,ENDESA
58,9,Moncloa - Aravaca,2,Argüelles,"Calle Marqués de Urquijo, 27",27,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,ENDESA
59,17,Villaverde,1,"Villaverde Alto, Casco Histórico de Villaverde","Calle Valle de Tobalina, 24 (ES Ballenoil)",24,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,IBERDROLA
60,6,Tetuán,2,Cuatro Caminos,"Calle Bravo Murillo, 122",122,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6,DRIVE THE CITY
61,12,Usera,2,Orcasur,"Calle de Eduardo Barreiros, 2 (On rent)",2,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,ENDESA
62,12,Usera,2,Orcasur,Carretera A-4. P.K. 6.70 D,,Estación de servicio,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
63,16,Hortaleza,5,Apostol Santiago,"Avenida de San Luis, 77",77,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,NATURGY
64,18,Villa de Vallecas,1,Casco Histórico de Vallecas,Calle 29. Mercamadrid,29,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,9,DRIVE THE CITY
65,15,Ciudad Lineal,7,Colina,"Calle Arturo Soria, 175",175,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
66,15,Ciudad Lineal,5,San Pascual,"Calle Verdaguer y Garcia, 5",5,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,ENDESA
67,14,Moratalaz,3,Marroquina,Glorieta Corregidor Sancho de Córdoba S/N,,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
68,20,San Blas - Canillejas,1,Simancas,"Calle Alcalá, 510",510,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,REPSOL
69,18,Villa de Vallecas,3,Ensanche de Vallecas,"Calle Alto del Retiro, s/n",,Estación de servicio,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,ENDESA
70,20,San Blas - Canillejas,6,Rejas,"Calle Deyanira, 10",10,Aparcamiento,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,NATURGY
71,20,San Blas - Canillejas,6,Rejas,"Calle Nanclares de Oca, 5-17",5,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6,IBERDROLA
72,18,Villa de Vallecas,1,Casco Histórico de Vallecas,"Avenida Eje Central, 7",7,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,NATURGY
73,1,Centro,4,Justicia,Calle Génova 24,24,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,GIC
74,6,Tetuán,4,Almenara,"Calle San Aquilino, 1 B",,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,IBERDROLA
75,5,Chamartín,2,Prosperidad,"Avenida de América 9 A, planta -3",9,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,IBERDROLA
76,18,Villa de Vallecas,18,Casco Histórico de Vallecas,Avda. de Madrid - Aparcamiento Este del Mercado Central de Pescados (Parcela C2),,Mercamadrid,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6, 
77,18,Villa de Vallecas,18,Casco Histórico de Vallecas,Calle 29. Mercamadrid,29,Aparcamiento,180 kW 2 conectores CC (CCS),2,DRIVE THE CITY
