ID_BIKEST,DISTRICT,DISTRICT_ID,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,STREET,ST_NUMBER,CAPACITY,LONGITUDE,LATITUDE
15,CENTRO,1,15,UNIVERSIDAD,CALLE DEL NORTE,10,21,-3.7073611,40.4262937
16,CENTRO,1,15,UNIVERSIDAD,CALLE DE SAN BERNARDO,22,21,-3.7074955,40.4229421
17,CENTRO,1,15,UNIVERSIDAD,PLAZA DE CARLOS CAMBRONERO,2,24,-3.7041859,40.4231675
18,CENTRO,1,14,JUSTICIA,PLAZA DE PEDRO ZEROLO,1,24,-3.6995679,40.4209206
19,CENTRO,1,14,JUSTICIA,CALLE DE PRIM,4,24,-3.6953951,40.4218997
20,CENTRO,1,14,JUSTICIA,CALLE DE ALCALA,49,30,-3.6952095,40.4191989
22,CENTRO,1,16,SOL,CALLE DE JACOMETREZO,1,24,-3.7064995,40.4201452
23,CENTRO,1,11,PALACIO,PLAZA DE SANTO DOMINGO,S/N,24,-3.7082901,40.4202137
24,CENTRO,1,11,PALACIO,CALLE DE CARLOS III,1,24,-3.7105866,40.417906
25a,CENTRO,1,16,SOL,PLAZA DEL CELENQUE,1,24,-3.7059978,40.4173416
25b,CENTRO,1,16,SOL,PLAZA DEL CELENQUE,1,24,-3.7060243,40.4172593
26,CENTRO,1,14,JUSTICIA,PLAZA DE LAS SALESAS,8,24,-3.6945421,40.4238308
27,CENTRO,1,13,CORTES,CALLE DE JESUS,6,27,-3.6955803,40.4132831
28,CENTRO,1,13,CORTES,CALLE DE ALCALA,26,24,-3.6983662,40.4180695
29,CENTRO,1,13,CORTES,CALLE DEL MARQUES DE CUBAS,25,24,-3.6958008,40.416244
30,CENTRO,1,11,PALACIO,CALLE DE PAVIA,6,27,-3.7115428,40.4193355
31,CENTRO,1,16,SOL,CALLE MAYOR,18,27,-3.706625,40.4163446
32,CENTRO,1,16,SOL,PLAZA DE LA PROVINCIA,1,18,-3.7061355,40.4148511
33,CENTRO,1,16,SOL,CALLE DE LAS CARRETAS,3,21,-3.7032096,40.4164757
34,CENTRO,1,13,CORTES,PLAZA DE JACINTO BENAVENTE,S/N,24,-3.7035044,40.4144117
35,CENTRO,1,11,PALACIO,PLAZA DEL CORDON,1,24,-3.7103676,40.4141792
36,CENTRO,1,11,PALACIO,PLAZA DE RAMALES,5,24,-3.711764,40.4168229
