ID_BIKEST,DISTRICT,DISTRICT_ID,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,STREET,ST_NUMBER,CAPACITY,LONGITUDE,LATITUDE
193,SALAMANCA,4,44,GUINDALERA,AVENIDA DE LOS TOREROS,47,24,-3.665644,40.4325204
194,SALAMANCA,4,44,GUINDALERA,CALLE DE FRANCISCO SILVELA,86,24,-3.6771947,40.4371986
195,CHAMARTÍN,5,52,PROSPERIDAD,CALLE DEL PADRE INDALECIO HERNANDEZ,1,24,-3.6754913,40.4392483
196,CHAMARTÍN,5,53,CIUDAD JARDÍN,CALLE DE SUERO DE QUIÑONES,2,24,-3.6750918,40.4440957
197,CHAMARTÍN,5,51,EL VISO,AVENIDA DE CONCHA ESPINA,S/N,24,-3.6780252,40.4515501
198,CHAMBERÍ,7,74,ALMAGRO,GLORIETA DE RUBEN DARIO,2,24,-3.6915713,40.4331172
199,CHAMBERÍ,7,71,GAZTAMBIDE,CALLE DE FERNANDO EL CATOLICO,61,27,-3.7148406,40.4343244
200,CHAMBERÍ,7,72,ARAPILES,GLORIETA DE QUEVEDO,4,24,-3.704671,40.4336617
201,CHAMBERÍ,7,75,RÍOS ROSAS,CALLE DE JOSE ABASCAL,2,24,-3.7038161,40.4387323
202,CHAMBERÍ,7,76,VALLEHERMOSO,CALLE DE SANTANDER,S/N,24,-3.7080969,40.4411686
203,CHAMBERÍ,7,76,VALLEHERMOSO,CALLE DEL GENERAL AMPUDIA,2,24,-3.7144239,40.4417547
204,TETUÁN,6,61,BELLAS VISTAS,CALLE DEL DOCTOR SANTERO,1,24,-3.7041702,40.4476606
205,TETUÁN,6,61,BELLAS VISTAS,CALLE DE NAVARRA,1,24,-3.7033408,40.4535024
206,TETUÁN,6,66,BERRUGUETE,CALLE DEL MARQUES DE VIANA,5,24,-3.6990499,40.4607994
207,TETUÁN,6,65,VALDEACEDERAS,CALLE DE LAS AZUCENAS,1,18,-3.6973991,40.4630291
208,CHAMARTÍN,5,56,CASTILLA,PASEO DE LA CASTELLANA,S/N,24,-3.6886852,40.4665125
209,CHAMARTÍN,5,55,NUEVA ESPAÑA,PLAZA DE CASTILLA,9,24,-3.6887875,40.4656872
210,CENTRO,1,16,SOL,CALLE DE LAS TRES CRUCES,9,27,-3.702631,40.4197538
211,CENTRO,1,15,UNIVERSIDAD,CALLE DEL DESENGAÑO,3,24,-3.7025369,40.4206168
212,CARABANCHEL,11,113,SAN ISIDRO,GLORIETA DEL MARQUES DE VADILLO,9,24,-3.7165313,40.3981605
213,USERA,12,125,MOSCARDÓ,CALLE DE ANTONIO LOPEZ,129,24,-3.7001575,40.3889363
214,CIUDAD LINEAL,15,155,SAN PASCUAL,CALLE DE LA CONDESA DE VENADITO,2,24,-3.6569597,40.4434012
215,CIUDAD LINEAL,15,152,PUEBLO NUEVO,CALLE DE GUTIERRE DE CETINA,77,24,-3.6409697,40.4296903
216,LATINA,10,102,PUERTA DEL ÁNGEL,PLAZA DE LA PUERTA DEL ANGEL,3,24,-3.7288948,40.4140528
217,FUENCARRAL-EL PARDO,8,85,LA PAZ,CALLE DE PEDRO RICO,4,24,-3.6891094,40.4810028
218,MORATALAZ,14,144,MEDIA LEGUA,CALLE DEL CAMINO DE LOS VINATEROS,28,24,-3.6573999,40.4105519
219,MORATALAZ,14,143,MARROQUINA,CALLE DEL CAMINO DE LOS VINATEROS,108,24,-3.6467783,40.4083961
220,MORATALAZ,14,144,MEDIA LEGUA,CALLE DEL ARROYO DE LAS PILILLAS,4,24,-3.6514264,40.4061548
221,MORATALAZ,14,141,PAVONES,CALLE DE LA HACIENDA DE PAVONES,346,24,-3.6346859,40.4004579
222,USERA,12,125,MOSCARDÓ,CALLE DE EUGENIO CAXES,5,24,-3.7026887,40.3917816
223,LATINA,10,101,CÁRMENES,PASEO DE LA ERMITA DEL SANTO,48,24,-3.7245226,40.4064341
224,LATINA,10,102,PUERTA DEL ÁNGEL,CALLE DE CARAMUEL,52,24,-3.7288262,40.408882
225,PUENTE DE VALLECAS,13,136,NUMANCIA,CALLE DE LA SIERRA TOLEDANA,33,24,-3.6601933,40.4026388
226,PUENTE DE VALLECAS,13,136,NUMANCIA,CAMINO DE VALDERRIBAS,94,24,-3.6606789,40.3991986
227,PUENTE DE VALLECAS,13,132,SAN DIEGO,CALLE DEL ARROYO DEL OLIVAR,4,24,-3.6661421,40.3940355
228,CARABANCHEL,11,111,COMILLA,CALLE DE SAN DELFIN,9,24,-3.7080437,40.3943842
229,CIUDAD LINEAL,15,154,CONCEPCIÓN,CALLE DE JOSE DEL HIERRO,5,24,-3.6486507,40.4370782
230,CIUDAD LINEAL,15,155,SAN PASCUAL,CALLE DE CARLOTA O'NEILL,32,24,-3.6491034,40.4436986
231,CIUDAD LINEAL,15,155,SAN PASCUAL,CALLE DE LOS DERECHOS HUMANOS,14,24,-3.6558172,40.439748
232,CIUDAD LINEAL,15,151,VENTAS,CALLE DE JOSE MARIA PEREDA,1,24,-3.6485701,40.4328362
233,CIUDAD LINEAL,15,151,VENTAS,AVENIDA DEL MARQUES DE CORBERA,12,24,-3.655633,40.4229144
234,CIUDAD LINEAL,15,151,VENTAS,AVENIDA DEL MARQUES DE CORBERA,52,24,-3.651125,40.426163
235,ARGANZUELA,2,24,LEGAZPI,CALLE DEL SODIO,1 B,24,-3.6911834,40.3889853
236,ARGANZUELA,2,21,IMPERIAL,PASEO IMPERIAL,20,24,-3.7171449,40.4074236
237,TETUÁN,6,61,BELLAS VISTAS,CALLE DE FRANCISCO BALSEIRO,S/N,24,-3.7105146,40.451395
238,TETUÁN,6,62,CUATRO CAMINOS,CALLE DE SAN GERMÁN,5,24,-3.6932474,40.4562183
239,TETUÁN,6,66,BERRUGUETE,CALLE DE FRANCOS RODRIGUEZ,62,24,-3.7079276,40.4567345
240,SALAMANCA,4,44,GUINDALERA,AVENIDA DE BRASILIA,9,24,-3.6609886,40.4367138
241,SALAMANCA,4,44,GUINDALERA,AVENIDA DE CAMILO JOSE CELA,23,24,-3.6677796,40.4377568
242,SALAMANCA,4,44,GUINDALERA,AVENIDA DE BRUSELAS,56,24,-3.6629058,40.4394662
243,SALAMANCA,4,44,GUINDALERA,CALLE DE CARTAGENA,38,24,-3.6700894,40.4351648
244,CHAMBERÍ,7,76,VALLEHERMOSO,CALLE DE ISAAC PERAL,44,24,-3.7175468,40.4398513
245,CHAMBERÍ,7,72,ARAPILES,CALLE DE GALILEO,63,24,-3.7101726,40.4364656
246,CHAMBERÍ,7,73,TRAFALGAR,CALLE DE SANTA ENGRACIA,87,24,-3.699252,40.436026
247,CHAMBERÍ,7,75,RÍOS ROSAS,CALLE DE ZURBANO,90,24,-3.692843,40.4383672
248,FUENCARRAL-EL PARDO,8,85,LA PAZ,CALLE DE SINESIO DELGADO,2,24,-3.6878414,40.4743243
249,CHAMARTÍN,5,56,CASTILLA,PASEO DE LA CASTELLANA,298,24,-3.6852959,40.4794159
250,CHAMARTÍN,5,51,EL VISO,CALLE DE SERRANO,113 b,24,-3.6861,40.4408151
251,CHAMARTÍN,5,52,PROSPERIDAD,CALLE DE SANTA HORTENSIA,31,24,-3.6668532,40.444183
252,CHAMARTÍN,5,56,CASTILLA,CALLE DE RODRIGUEZ JAEN,S/N,24,-3.6839094,40.4715645
253,CHAMARTÍN,5,54,HISPANOAMÉRICA,CALLE DEL DOCTOR FLEMING,7,24,-3.688443,40.455606
254,CHAMARTÍN,5,55,NUEVA ESPAÑA,AVENIDA DE PIO XII,3,24,-3.6765549,40.4610436
255,CHAMARTÍN,5,55,NUEVA ESPAÑA,CALLE DEL GENERAL LOPEZ POZAS,2,24,-3.6851815,40.4637286
256,MONCLOA-ARAVACA,9,93,CIUDAD UNIVERSITARIA,CALLE DE BEATRIZ DE BOBADILLA,2,24,-3.7138353,40.4463599
257,MONCLOA-ARAVACA,9,93,CIUDAD UNIVERSITARIA,AVENIDA DE JUAN DE HERRERA,1,24,-3.73029,40.438804
258,MONCLOA-ARAVACA,9,93,CIUDAD UNIVERSITARIA,AVENIDA COMPLUTENSE,14,24,-3.7273004,40.449019
259,MONCLOA-ARAVACA,9,93,CIUDAD UNIVERSITARIA,PLAZA DE RAMON Y CAJAL,S/N,24,-3.727031,40.4444176
260,MONCLOA-ARAVACA,9,93,CIUDAD UNIVERSITARIA,CALLE DE JOSE ANTONIO NOVAIS,S/N,24,-3.7272637,40.4482316
261,MONCLOA-ARAVACA,9,93,CIUDAD UNIVERSITARIA,AVENIDA COMPLUTENSE,7,24,-3.7292576,40.4505032
