ID_CHARGEST,DISTRICT_ID,DISTRICT,WIKIDATA_DISTRICT,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,WIKIDATA_NEIGHBOURHOOD,STREET,ST_NUMBER,LOCATION,CONECTOR_INFO,CAPACITY,OPERATOR,WIKIDATA_OPERATOR
11,4,Salamanca,https://wikidata.org/wiki/Q1773521,46,Castellana,https://wikidata.org/wiki/Q4781,CALLE VELÁZQUEZ,74,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
12,4,Salamanca,https://wikidata.org/wiki/Q1773521,46,Castellana,https://wikidata.org/wiki/Q4781,PASEO CASTELLANA,52,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
13,5,Chamartín,https://wikidata.org/wiki/Q1766348,51,El Viso,https://wikidata.org/wiki/Q4778,PASEO CASTELLANA,106,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
14,5,Chamartín,https://wikidata.org/wiki/Q1766348,54,Hispanoamérica,https://wikidata.org/wiki/Q3814573,PASEO CASTELLANA,160,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
15,5,Chamartín,https://wikidata.org/wiki/Q1766348,56,Castilla,https://wikidata.org/wiki/Q3813735,CALLE CARDENAL MARCELO SPÍNOLA,6,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
16,7,Chamberí,https://wikidata.org/wiki/Q1763370,72,Arapiles,https://wikidata.org/wiki/Q10856744,CALLE FERNÁNDEZ DE LOS RÍOS,42,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
17,7,Chamberí,https://wikidata.org/wiki/Q1763370,72,Arapiles,https://wikidata.org/wiki/Q10856744,PLAZA DEL CONDE DE VALLE DE,S/N,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
18,7,Chamberí,https://wikidata.org/wiki/Q1763370,73,Trafalgar,https://wikidata.org/wiki/Q10384027,CALLE MANUEL SILVELA,16,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
19,5,Chamartín,https://wikidata.org/wiki/Q1766348,55,Nueva España,https://wikidata.org/wiki/Q10338128,AVENIDA ALBERTO ALCOCER,11,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Endesa,https://wikidata.org/wiki/Q1275336
20,7,Chamberí,https://wikidata.org/wiki/Q1763370,73,Trafalgar,https://wikidata.org/wiki/Q10384027,CALLE SANTA ENGRACIA,115,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
21,7,Chamberí,https://wikidata.org/wiki/Q1763370,74,Almagro,https://wikidata.org/wiki/Q10954432,PASEO CASTELLANA,33,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
22,8,Fuencarral-El Pardo,https://wikidata.org/wiki/Q656196,85,La Paz,https://wikidata.org/wiki/Q5869740,CALLE DE SINESIO DELGADO,2,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
23,15,Ciudad Lineal,https://wikidata.org/wiki/Q1763694,156,San Juan Bautista,https://wikidata.org/wiki/Q165609,CALLE BUESO PINEDA,29,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
24,1,Centro,https://wikidata.org/wiki/Q1763376,11,Palacio,https://wikidata.org/wiki/Q2136510,PLAZA DE LA,S/N,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),2,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
25,5,Chamartín,https://wikidata.org/wiki/Q1766348,55,Nueva España,https://wikidata.org/wiki/Q10338128,CALLE MATEO INURRIA,4,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
26,6,Tetuán,https://wikidata.org/wiki/Q1773540,66,Berruguete,https://wikidata.org/wiki/Q11909208,CALLE OFELIA NIETO,64,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
27,8,Fuencarral-El Pardo,https://wikidata.org/wiki/Q656196,86,Valverde,https://wikidata.org/wiki/Q31132,CALLE DEL ABETAL,8,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6,Repsol,https://wikidata.org/wiki/Q174747
28,9,Moncloa-Aravaca,https://wikidata.org/wiki/Q2017682,93,Ciudad Universitaria,https://wikidata.org/wiki/Q3319235,CRED HIPODROMOCR,S/N,Estación de servicio,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
29,9,Moncloa-Aravaca,https://wikidata.org/wiki/Q2017682,96,El Plantío,https://wikidata.org/wiki/Q3773742,A6 - AVENIDA VICTORIA 34 (CRED EL PLANTIO),34,Estación de servicio,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
30,10,Latina,https://wikidata.org/wiki/Q794954,106,Cuatro Vientos,https://wikidata.org/wiki/Q5191881,CRED A5 PK 9,S/N,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
31,10,Latina,https://wikidata.org/wiki/Q794954,106,Cuatro Vientos,https://wikidata.org/wiki/Q5191881,AVENIDA DE LA PESETA,6,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
32,10,Latina,https://wikidata.org/wiki/Q794954,107,Las Águilas,https://wikidata.org/wiki/Q5971372,CALLE DE JOSÉ DE CADALSO,51,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
33,13,Puente de Vallecas,https://wikidata.org/wiki/Q2003054,134,Palomeras Sureste,https://wikidata.org/wiki/Q10343901,AVENIDA DE LA ALBUFERA,319,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,6,Ecolineras,https://wikidata.org/wiki/Q114758119
34,16,Hortaleza,https://wikidata.org/wiki/Q1928529,166,Valdefuentes,https://wikidata.org/wiki/Q10388714,AVENIDA MARÍA DE PORTUGAL,15,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Iberdrola,https://wikidata.org/wiki/Q1437502
35,17,Villaverde,https://wikidata.org/wiki/Q919536,173,Butarque,https://wikidata.org/wiki/Q390453,AVDA. DE LOS ROSALES,147,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
36,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,183,Ensanche de Vallecas,https://wikidata.org/wiki/Q3847485,AVENIDA REAL DE ARGANDA,74,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
37,20,San Blas,https://wikidata.org/wiki/Q2001937,206,Rejas,https://wikidata.org/wiki/Q10359029,BARAJAS II A2 KM 12,S/N,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Repsol,https://wikidata.org/wiki/Q174747
38,1,Centro,https://wikidata.org/wiki/Q1763376,16,Sol,https://wikidata.org/wiki/Q2465181,PLAZA DE JACINTO BENAVENTE,6,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Empresa Municipal de Transportes de Madrid,https://wikidata.org/wiki/Q1094755
