City,Same_as_wikidata_city,Owner,Same_as_wikidata_Owner,Charging Station,Address,Longitude,Latitude,Number of connectors,Same_as_wikidata_N_Connector,Peripheral,Connector,Price,Same_as_wikidata_Price,Cables Annotation,Bookable,Schedule,Time limit
Alcobendas,https://www.wikidata.org/wiki/Q487679,Bilbao Vizcaya Argentaria Bank,https://www.wikidata.org/wiki/Q806189,BBVA campus moraleja_-3.649032_40.536064,"Calle Valgrande, 9",-3.649032,40.536064,3,https://www.wikidata.org/wiki/Q201,"Schuko (EU Plug) 3.70kW
TYPE 1 (SAE J1772) 3.70kW
","Schuko (EU Plug) 3.70kW
TYPE 1 (SAE J1772) 3.70kW
_-3.649032_40.536064",gratis,https://www.wikidata.org/wiki/Q1543615,No,Obligatorio,9:00h. a 21:30h,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Bricomart parking subterráneo,,Bricomart parking subterráneo_-3.6608542_40.5226938,"Carr. de Fuencarral, 53",-3.6608542,40.5226938,9,https://www.wikidata.org/wiki/Q19108,TYPE 2 3.70kW,TYPE 2 3.70kW_-3.6608542_40.5226938,gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,Lunes a viernes: 7:00-21:30 / Sábados: 7:30-22:00 / Domingos de apertura: 9:00-15:00 / Festivos de apertura: 7:00-21:30,
Alcobendas,https://www.wikidata.org/wiki/Q487679,C. de Salamanca,,C. de Salamanca_-3.64952_40.53067,"Calle de la Metalurgia, 1",-3.64952,40.53067,1,https://www.wikidata.org/wiki/Q199,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.64952_40.53067,Exclusivo para clientes,,No,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Carrefour Group,https://www.wikidata.org/wiki/Q3117359,Carrefour Alcobendas_-3.6541821_40.5268882,"Carr. de Madrid a Burgos Km, 14500",-3.6541821,40.5268882,2,https://www.wikidata.org/wiki/Q200,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.6541821_40.5268882,gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Center Car,,Center Car_-3.65155_40.537986,"Calle Valgrande, 16",-3.65155,40.537986,1,https://www.wikidata.org/wiki/Q199,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.65155_40.537986,,,No,Recomendado,8-14h 15.30-18h,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Centro Comercial El Encinar,,Centro Comercial El Encinar_-3.64323_40.51187,"Calle Vereda de Palacio, 10",-3.64323,40.51187,4,https://www.wikidata.org/wiki/Q202,TYPE 2 22.00kW,TYPE 2 22.00kW_-3.64323_40.51187,0.35-0.40 €/KWH,,No,No se puede reservar,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Colegio Aldovea,,Colegio Aldovea_-3.62615_40.52652,"Paseo de Alcobendas, 3",-3.62615,40.52652,1,https://www.wikidata.org/wiki/Q199,Schuko (EU Plug) 2.30kW,Schuko (EU Plug) 2.30kW_-3.62615_40.52652,,,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Creara/NL*LMS*P55887869,,Creara/NL*LMS*P55887869_-3.651594_40.534246,"Av. de la Industria, 32",-3.651594,40.534246,2,https://www.wikidata.org/wiki/Q200,TYPE 2 22.00kW,TYPE 2 22.00kW_-3.651594_40.534246,gratis,https://www.wikidata.org/wiki/Q1543615,No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Distrito Telefónica,https://www.wikidata.org/wiki/Q5283575,Distrito Telefónica Pk. Sur-Este_-3.6661338_40.5150227,"RONDA DE LA COMUNICACIÓN, ",-3.6661338,40.5150227,2,https://www.wikidata.org/wiki/Q200,"Schuko (EU Plug) 2.30kW
TYPE 2 7.40kW
","Schuko (EU Plug) 2.30kW
TYPE 2 7.40kW
_-3.6661338_40.5150227",gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,Laborables de 6:45 a 21:00,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Acciona,https://www.wikidata.org/wiki/Q339142,Estación de recarga ACCIONA-Bia en Moraleja Green_-3.65764_40.519896,"Av. de Europa, 13",-3.65764,40.519896,2,https://www.wikidata.org/wiki/Q200,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.65764_40.519896,gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"FENIE ENERGIA,",https://www.wikidata.org/wiki/Q113464312,Feníe Energía/0259_-3.65764_40.519896,"Avenida de Europa, 13",-3.65764,40.519896,1,https://www.wikidata.org/wiki/Q199,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.65764_40.519896,"0,6353 EUR/charge",,No,,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Hampton by Hilton Alcobendas Madrid,,Hampton by Hilton Alcobendas Madrid_-3.618301_40.534582,"Av. de Fernando Alonso, 4",-3.618301,40.534582,4,https://www.wikidata.org/wiki/Q202,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.618301_40.534582,,,Necesita manguera tipo 2,No se puede reservar,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,"Hinober, Valgrande",,"Hinober, Valgrande_-3.6519976_40.537382","Calle Valgrande, 8",-3.6519976,40.537382,4,https://www.wikidata.org/wiki/Q202,TYPE 2 3.70kW,TYPE 2 3.70kW_-3.6519976_40.537382,"0,2500 EUR/kWh",,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Amura Alcobendas,https://www.wikidata.org/wiki/Q111409068,Hotel Amura Alcobendas_-3.641489_40.535981,"Av. de Valdelaparra, 2",-3.641489,40.535981,2,https://www.wikidata.org/wiki/Q200,Schuko (EU Plug) 3.70kW,Schuko (EU Plug) 3.70kW_-3.641489_40.535981,gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Hotel Uve Alcobendas,,Hotel Uve Alcobendas_-3.63473_40.53712,"Bulevar de Salvador Allende, 10",-3.63473,40.53712,1,https://www.wikidata.org/wiki/Q199,TYPE 2 7.40kW,TYPE 2 7.40kW_-3.63473_40.53712,gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,24 horas todos los días,
Alcobendas,https://www.wikidata.org/wiki/Q487679,McDonald’s,https://www.wikidata.org/wiki/Q38076,McDonalds Alcobendas_-3.656808_40.547812,"Calle del Marqués de la Valdavia, 140",-3.656808,40.547812,3,https://www.wikidata.org/wiki/Q201,"TYPE 2 43.00kW
CHAdeMO 50.00kW
CCS2 50.00kW
","TYPE 2 43.00kW
CHAdeMO 50.00kW
CCS2 50.00kW
_-3.656808_40.547812",,,Si tiene salvo Tipo 2,,,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Mercadona,https://www.wikidata.org/wiki/Q377705,Mercadona Alcobendas_-3.6587782_40.5236888,"Carr. de Fuencarral, ",-3.6587782,40.5236888,,,TYPE 2 3.70kW,TYPE 2 3.70kW_-3.6587782_40.5236888,gratis,https://www.wikidata.org/wiki/Q1543615,No,No se puede reservar,Comercial,
Alcobendas,https://www.wikidata.org/wiki/Q487679,Mitsubishi Motors,https://www.wikidata.org/wiki/Q36033,Mitsubishi_-3.65044_40.530222,"Calle de Francisco Gervás, 4",-3.65044,40.530222,1,https://www.wikidata.org/wiki/Q199,TYPE 2 11.00kW,TYPE 2 11.00kW_-3.65044_40.530222,,,No,No se puede reservar,8-13:30 14-19 L-V,
