PK;NOMBRE;PDF;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
302069;"Viviendas y oficinas";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302069.pdf?idEdificio=2508f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=2508f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"60";"";"";"";"";"MADRID";"MADRID";"";"";"UNIVERSIDAD";"";"CENTRO";"439920";"4474843";"40.42204991423245";"-3.7082216221580424";"";"";"";""; 
302278;"Viviendas y oficinas para el vizconde de Escoriaza";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302278.pdf?idEdificio=6a08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6a08f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"22B";"";"";"";"";"MADRID";"MADRID";"28004";"";"JUSTICIA";"";"CENTRO";"440579";"4474633";"40.420196449810746";"-3.700434184151691";"";"";"";""; 
302054;"Viviendas y oficinas para Hilario Ruiz";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302054.pdf?idEdificio=0408f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=0408f7d9560a4510f7d9560a45102e085a0aRCRD";"DOCTOR CARRACIDO";"Calle";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"PALACIO";"";"CENTRO";"439745";"4474906";"40.42260479210528";"-3.710290337398356";"";"";"";""; 
302250;"Viviendas y oficinas para Jesús de Murga";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302250.pdf?idEdificio=4a08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=4a08f7d9560a4510f7d9560a45102e085a0aRCRD";"FUENCARRAL";"Calle";"V";"2";"";"";"";"";"MADRID";"MADRID";"28004";"";"JUSTICIA";"";"CENTRO";"440609";"4474841";"40.42019974167522";"-3.7013772230560367";"";"";"";""; 
302050;"Viviendas y oficinas para Jesús Ussia y Cubas y Cine Azul";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302050.pdf?idEdificio=8308f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=8308f7d9560a4510f7d9560a45102e085a0aRCRD";"GENERAL MITRE";"Calle";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"UNIVERSIDAD";"";"CENTRO";"439875";"4475187";"40.42326392942259";"-3.7100497207381746";"";"";"";""; 
302158;"Viviendas y oficinas para José María Cano";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302158.pdf?idEdificio=2808f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=2808f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"42";"";"";"";"";"MADRID";"MADRID";"";"";"UNIVERSIDAD";"";"CENTRO";"440176";"4474673";"40.420527912725234";"-3.7051880312562004";"";"";"";""; 
302335;"Viviendas y oficinas para José María de Antonio Becerril";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302335.pdf?idEdificio=eb08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=eb08f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"8";"";"";"";"";"MADRID";"MADRID";"28004";"";"JUSTICIA";"";"CENTRO";"440759";"4474565";"40.41960571610798";"-3.6983063152074465";"";"";"";""; 
302071;"Viviendas y oficinas para José Pérez Pla";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302071.pdf?idEdificio=6508f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6508f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"64";"";"";"";"";"MADRID";"MADRID";"";"";"UNIVERSIDAD";"";"CENTRO";"439890";"4474872";"40.42230899265851";"-3.708577977039153";"";"";"";""; 
302057;"Viviendas y oficinas para Juan Miralles Sesé";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302057.pdf?idEdificio=6408f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=6408f7d9560a4510f7d9560a45102e085a0aRCRD";"FLOR BAJA";"Calle";"V";"2";"";"";"";"";"MADRID";"MADRID";"";"";"PALACIO";"";"CENTRO";"439802";"4474872";"40.42230263063633";"-3.709615247532299";"";"";"";""; 
302212;"Viviendas y oficinas para la Constructora Calpense";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302212.pdf?idEdificio=c908f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=c908f7d9560a4510f7d9560a45102e085a0aRCRD";"CHINCHILLA";"Calle";"V";"";"";"";"";"";"MADRID";"MADRID";"28013";"";"SOL";"";"CENTRO";"440334";"4474594";"40.41983659667071";"-3.7033183883781584";"";"";"";""; 
302084;"Viviendas y oficinas para Leopoldo García";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302084.pdf?idEdificio=2608f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=2608f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"49";"";"";"";"";"MADRID";"MADRID";"";"";"PALACIO";"";"CENTRO";"439961";"4474732";"40.421052935047896";"-3.7077278705268566";"";"";"";""; 
307319;"Viviendas y oficinas para Rafael Calabuig";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/307319.pdf?idEdificio=4818f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=4818f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"58";"";"";"";"";"MADRID";"MADRID";"28013";"";"UNIVERSIDAD";"";"CENTRO";"439936";"4474829";"40.4219249510091";"-3.708031705868069";"";"";"";""; 
302165;"Viviendas y oficinas para Ramón Saiz de Carlos";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302165.pdf?idEdificio=8808f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=8808f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"33";"";"";"";"";"MADRID";"MADRID";"";"";"SOL";"";"CENTRO";"440248";"4474600";"40.419884476559766";"-3.7043326122944116";"";"";"";""; 
302085;"Viviendas y oficinas para Santos Suárez y Compañía";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302085.pdf?idEdificio=4608f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=4608f7d9560a4510f7d9560a45102e085a0aRCRD";"GRAN VIA";"Calle";"V";"47";"";"";"";"";"MADRID";"MADRID";"28013";"";"PALACIO";"";"CENTRO";"439972";"4474716";"40.420909593356875";"-3.707596703829156";"";"";"";""; 
302354;"Viviendas y oficinas para Seguros La Estrella";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302354.pdf?idEdificio=ec08f7d9560a4510f7d9560a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=ec08f7d9560a4510f7d9560a45102e085a0aRCRD";"CABALLERO DE GRACIA";"Calle";"V";"15";"";"";"";"";"MADRID";"MADRID";"28013";"";"CORTES";"";"CENTRO";"440709";"4474527";"40.41925983291224";"-3.698892108659167";"";"";"";""; 
302186;"Viviendas y teatro Fontalba para el marqués de Cubas y Fontalba";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/302186.pdf?idEdificio=0008723e180a4510723e180a45102e085a0aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=0008723e180a4510723e180a45102e085a0aRCRD";"DESENGAÑO";"Calle";"V";"3";"";"";"";"";"MADRID";"MADRID";"28004";"";"UNIVERSIDAD";"";"CENTRO";"440393";"4474660";"40.42043538395938";"-3.7026291559798357";"";"";"";""; 
11066810;"Zoo Aquarium de Madrid";"https://patrimonioypaisaje.madrid.es/FrameWork/generacionPDFMonumenta/11066810.pdf?idEdificio=c8eb59843b38e610VgnVCM1000001d4a900aRCRD&tipoMon=E";"https://patrimonioypaisaje.madrid.es/sites/v/index.jsp?vgnextchannel=83bc3cb702aa4510VgnVCM1000008a4a900aRCRD&vgnextoid=c8eb59843b38e610VgnVCM1000001d4a900aRCRD";"ZOOLOGICO DE LA CASA CAMPO";"COMPLEJO";"T";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"435402";"4473738";"40.41176029757209";"-3.761360271036638";"";"";"";""; 

