ID-EVENTO,TITULO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,URL-INSTALACION,NOMBRE-INSTALACION,WIKIDATA:EVENTOS,ID-BIBLIOTECA
11818620,Música en la novela,,2022-10-20 00:00:00.0,2022-10-20 23:59:00.0,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - José Hierro,https://wikidata.org/entity/Q85697922,115056
11788874,Neomudéjar popular en Tetuán. Imágenes de un futuro incierto,"L,M,X,J,V",2022-10-05 00:00:00.0,2023-01-20 23:59:00.0,08:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=74703d0b5e71c010VgnVCM1000000b205a0aRCRD,Municipal Public Library María Zambrano,https://wikidata.org/entity/Q85697944,1759
11800971,Nurk en concierto,,2022-10-15 00:00:00.0,2022-10-15 23:59:00.0,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Eugenio Trías. Casa de Fieras de El Retiro,https://wikidata.org/entity/Q85697904,6893633
11789916,Nutrilecturas en tu barrio,"L,M,X,J,V",2022-11-01 00:00:00.0,2023-06-30 23:59:00.0,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca903d0b5e71c010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Gerardo Diego,https://wikidata.org/entity/Q85697914,1748
11789918,Nutrilecturas en tu barrio,"L,M,X,J,V",2022-11-01 00:00:00.0,2023-06-30 23:59:00.0,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD,Municipal Public Library Mario Vargas Llosa,https://wikidata.org/entity/Q63191732,7697128
11789176,Nutrilecturas en tu barrio,"L,M,X,J,V",2022-11-01 00:00:00.0,2023-06-30 23:59:00.0,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Eugenio Trías. Casa de Fieras de El Retiro,https://wikidata.org/entity/Q85697904,6893633
11790124,Nutrilecturas en tu barrio,"L,M,X,J,V",2022-11-01 00:00:00.0,2023-06-30 23:59:00.0,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=17f879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal - Pío Baroja,https://wikidata.org/entity/Q85697953,1763
11785968,Picnic De Cuentos,,2022-10-15 00:00:00.0,2022-10-15 23:59:00.0,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=83e748aaf535e710VgnVCM1000001d4a900aRCRD,Biblioteca Pública Municipal de San Fermín,https://wikidata.org/entity/Q111257503,11572165
11808985,Poemas para dibujar de Gloria Fuertes,,2022-10-22 00:00:00.0,2022-10-22 23:59:00.0,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=83e748aaf535e710VgnVCM1000001d4a900aRCRD,Biblioteca Pública Municipal de San Fermín,https://wikidata.org/entity/Q111257503,11572165
11749956,"Presentaciones libro 'Bugambilia, la flor oficial de las llamas gemelas'",,2022-11-03 00:00:00.0,2022-11-03 23:59:00.0,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c4dbc2658739410VgnVCM2000000c205a0aRCRD,Municipal Public Library Mario Vargas Llosa,https://wikidata.org/entity/Q63191732,7697128
11785542,Presentación de libro infantil 'Yo quiero tocar la Luna',,2022-10-22 00:00:00.0,2022-10-22 23:59:00.0,11:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d862492de8c8c510VgnVCM2000001f4a900aRCRD,Biblioteca Pública Municipal - María Lejárraga,https://wikidata.org/entity/Q85697942,10395362
