Número,Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion,Nº Finca
001 a,"440443,61","4474290,65",01  CENTRO,01-06 SOL,30,-3.701998,40.4171107,CALLE DE ALCALA,2
001 b,"440480,56","4474301,74",01  CENTRO,01-06 SOL,30,-3.7015636,40.4172132,CALLE DE ALCALA,6
2,"440134,83","4474678,23",01  CENTRO,01-05 UNIVERSIDAD,24,-3.7056739,40.42058,CALLE DE MIGUEL MOYA,1
3,"440012,98","4475760,68",07  CHAMBERÍ,07-02 ARAPILES,18,-3.7072122,40.4303224,PLAZA DEL CONDE DEL VALLE DE SUCHIL,2
4,"440396,4","4475565,36",01  CENTRO,01-05 UNIVERSIDAD,24,-3.7026739,40.4285905,CALLE DE MANUELA MALASAÑA,3
5,"440447,06","4475539,6",01  CENTRO,01-04 JUSTICIA,27,-3.7020743,40.428362,CALLE DE FUENCARRAL,106
6,"440754,26","4475071,08",01  CENTRO,01-04 JUSTICIA,24,-3.6984093,40.4241633,CALLE DE HORTALEZA,63
7,"440811,97","4475187,49",01  CENTRO,01-04 JUSTICIA,21,-3.6977399,40.4252161,CALLE DE HORTALEZA,75
8,"441020,56","4475463,16",07  CHAMBERÍ,07-04 ALMAGRO,24,-3.6953067,40.4277143,PLAZA DE ALONSO MARTINEZ,6
9,"439813,51","4474129,47",01  CENTRO,01-01 PALACIO,24,-3.7094093,40.4156134,PLAZA DE SAN MIGUEL,9
10,"441292,12","4475204,43",01  CENTRO,01-04 JUSTICIA,24,-3.6920816,40.4254027,CALLE DEL MARQUES DE LA ENSENADA,16
11,"440314,86","4475395,19",01  CENTRO,01-05 UNIVERSIDAD,24,-3.7036192,40.4270517,CALLE DE SAN ANDRES,20
12,"440095,53","4475560,73",01  CENTRO,01-05 UNIVERSIDAD,24,-3.7062202,40.4285271,CALLE DE SAN BERNARDO,87
13,"439733,78","4475434,65",01  CENTRO,01-05 UNIVERSIDAD,24,-3.7104727,40.4273652,CALLE DEL CONDE DUQUE,22
14,"439486,2","4475284,13",09  MONCLOA-ARAVACA,09-02 ARGÜELLES,24,-3.7133768,40.4259913,CALLE DE VENTURA RODRIGUEZ,1
15,"439996,77","4475313,59",01  CENTRO,01-05 UNIVERSIDAD,21,-3.7073611,40.4262937,CALLE DEL NORTE,10
16,"439982,39","4474941,66",01  CENTRO,01-05 UNIVERSIDAD,21,-3.7074955,40.4229421,CALLE DE SAN BERNARDO,22
17,"440263,35","4474964,43",01  CENTRO,01-05 UNIVERSIDAD,24,-3.7041859,40.4231675,PLAZA DE CARLOS CAMBRONERO,2
18,"440653,13","4474711,92",01  CENTRO,01-04 JUSTICIA,24,-3.6995679,40.4209206,PLAZA DE PEDRO ZEROLO,1
