PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;38;7;28079038_7_8;2022;09;30;7;V;1;V;4;V;1;V;4;V;2;V;4;V;12;V;50;V;43;V;38;V;29;V;19;V;17;V;28;V;10;V;7;V;9;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;8;28079038_8_8;2022;09;30;25;V;4;V;4;V;2;V;4;V;5;V;18;V;39;V;63;V;43;V;55;V;37;V;22;V;19;V;23;V;14;V;10;V;14;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;9;28079038_9_47;2022;09;30;1;V;3;V;3;V;2;V;2;V;1;V;3;V;3;V;5;V;7;V;7;V;5;V;22;V;16;V;7;V;2;V;4;V;3;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;10;28079038_10_47;2022;09;30;2;V;5;V;5;V;4;V;4;V;3;V;5;V;8;V;22;V;26;V;21;V;20;V;102;V;58;V;19;V;10;V;9;V;8;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;12;28079038_12_8;2022;09;30;36;V;6;V;10;V;4;V;10;V;9;V;24;V;57;V;139;V;109;V;113;V;82;V;51;V;46;V;67;V;28;V;20;V;27;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;20;28079038_20_59;2022;09;30;0.8;V;0.5;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.5;V;2.4;V;4.6;V;2.2;V;1.8;V;1.5;V;1;V;0.8;V;0.8;V;0.9;V;0.7;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;30;28079038_30_59;2022;09;30;0.3;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.5;V;0.8;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.2;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;38;35;28079038_35_59;2022;09;30;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.3;V;0.5;V;0.3;V;0.3;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;39;7;28079039_7_8;2022;09;30;1;V;1;V;1;V;1;V;1;V;1;V;1;V;11;V;28;V;28;V;40;V;21;V;3;V;3;V;2;V;2;V;2;V;2;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;39;8;28079039_8_8;2022;09;30;13;V;3;V;1;V;1;V;2;V;5;V;19;V;48;V;68;V;65;V;62;V;44;V;10;V;8;V;5;V;6;V;5;V;7;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;39;12;28079039_12_8;2022;09;30;14;V;4;V;3;V;3;V;3;V;6;V;20;V;65;V;111;V;108;V;123;V;77;V;15;V;12;V;7;V;9;V;8;V;9;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;39;14;28079039_14_6;2022;09;30;52.72;V;62.04;V;71.66;V;73.01;V;71.79;V;67.95;V;53.67;V;21.52;V;5.06;V;12.3;V;18.25;V;35.72;V;68.89;V;74.22;V;78.73;V;79.52;V;79.36;V;79.47;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;40;7;28079040_7_8;2022;09;30;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;56;V;52;V;35;V;24;V;16;V;22;V;13;V;3;V;4;V;3;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;40;8;28079040_8_8;2022;09;30;11;V;5;V;2;V;2;V;3;V;5;V;11;V;34;V;72;V;72;V;55;V;36;V;25;V;25;V;16;V;10;V;12;V;13;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;40;10;28079040_10_47;2022;09;30;7;V;7;V;12;V;7;V;2;V;6;V;5;V;7;V;11;V;23;V;27;V;18;V;18;V;14;V;11;V;1;V;14;V;16;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;40;12;28079040_12_8;2022;09;30;13;V;6;V;4;V;3;V;4;V;7;V;13;V;41;V;157;V;151;V;108;V;72;V;50;V;58;V;36;V;15;V;18;V;17;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;47;7;28079047_7_8;2022;09;30;2;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;38;V;85;V;27;V;26;V;36;V;54;V;3;V;24;V;21;V;21;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;47;8;28079047_8_8;2022;09;30;19;V;10;V;5;V;4;V;4;V;7;V;11;V;43;V;67;V;73;V;49;V;41;V;32;V;38;V;9;V;24;V;24;V;24;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;47;9;28079047_9_47;2022;09;30;2;V;6;V;1;V;3;V;6;V;1;V;1;V;2;V;7;V;8;V;7;V;7;V;5;V;10;V;7;V;2;V;4;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;47;10;28079047_10_47;2022;09;30;4;V;6;V;3;V;5;V;7;V;1;V;3;V;5;V;12;V;23;V;21;V;16;V;32;V;48;V;18;V;5;V;10;V;10;V;0;N;0;N;0;N;0;N;0;N;0;N
