XCoord;YCoord;COD_DIS;DISTRITO;COD_BAR;BARRIO;UBICACIÓN;EMPLAZAMIE;INFO_ADICI;Nº_EQUIPO;CARACTERÍ;OPERADOR;POINT_X;POINT_Y
446082,58000000;4479561,39000000;16;Hortaleza;3;Canillas;Avenida de Machupichu 105;Estación de servicio;Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo);GIC;446082,580000;4479561,390000
445077,48000000;4482762,25000000;16;Hortaleza;6;Valdefuentes;Avenida de Niceto Alcala Zamora 20;Estación de servicio;Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo);GIC/ GALP;445077,480000;4482762,250000
444372,20000000;4468659,86000000;18;Villa de Vallecas;1;Casco Histórico de Vallecas;Avenida Eje Central, 7;Estación de servicio;Iniciativa privada;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;NATURGY;444372,200000;4468659,860000
445890,74000000;4469312,60000000;18;Villa de Vallecas;1;Casco Histórico de Vallecas;Carretera de Villaverde a Vallecas 278;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo);REPSOL;445890,740000;4469312,600000
447722,67000000;4478857,49000000;21;Barajas;5;Corralejos;Avenida del Consejo de Europa 2;Estación de servicio;Iniciativa privada;4;350 kW conector CC (CCS);GIC / CEPSA;447722,670000;4478857,490000
447742,82000000;4479473,56000000;21;Barajas;5;Corralejos;Avenida del Partenón 5 (Recinto IFEMA);Aparcamiento;Aparcamiento privado rotación. Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);IBERDROLA;447742,820000;4479473,560000
443790,17210000;4467889,65440000;18;Villa de Vallecas;1;Casco Histórico de Vallecas;Parcela D.2.1 Anexo avenida de legazpi;Mercamadrid;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;443790,172100;4467889,654400
443986,28170000;4468371,29410000;18;Villa de Vallecas;1;Casco Histórico de Vallecas;Parcela E4 Anexo Avda Legazpi;Mercamadrid;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;443986,281700;4468371,294100
443061,52140000;4467834,86880000;18;Villa de Vallecas;1;Casco Histórico de Vallecas;Parcela B14 Anexo Calle 3;Mercamadrid;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC (CIRCUTOR);443061,521400;4467834,868800
442444,53010000;4474433,54000000;03;Retiro;4;Ibiza;Calle Ibiza 1;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;442444,530100;4474433,540000
441289,71000000;4474176,65980000;03;Retiro;5;Jerónimos;Plaza de la Lealtad, s/n;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;441289,710000;4474176,659800
438101,26000000;4469380,78000000;11;Carabanchel;6;Buenavista;Calle Hilario Herranz Establos, 20;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;438101,260000;4469380,780000
439003,67000000;4475684,86000000;09;Moncloa - Aravaca;2;Argüelles;Calle Marqués de Urquijo, 27;Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;439003,670000;4475684,860000
439248,70000000;4465309,95000000;17;Villaverde;1;Villaverde Alto, Casco Histórico de Villaverde;Calle Valle de Tobalina, 24 (ES Ballenoil);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;439248,700000;4465309,950000
440347,65000000;4477839,43000000;06;Tetuán;2;Cuatro Caminos;Calle Bravo Murillo, 122;Aparcamiento;Mercado Municipal;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;440347,650000;4477839,430000
440927,55000000;4469462,70000000;12;Usera;2;Orcasur;Calle de Eduardo Barreiros, 2 (On rent);Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;440927,550000;4469462,700000
441045,96000000;4468677,05000000;12;Usera;2;Orcasur;Carretera A-4. P.K. 6.70 D;Estación de servicio;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;441045,960000;4468677,050000
443786,93000000;4480466,05000000;16;Hortaleza;5;Apostol Santiago;Avenida de San Luis, 77;Aparcamiento;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;NATURGY;443786,930000;4480466,050000
443843,34000000;4467592,54000000;18;Villa de Vallecas;1;Casco Histórico de Vallecas;Calle 29. Mercamadrid;Aparcamiento;-;3;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;443843,340000;4467592,540000
444202,22000000;4478730,31000000;15;Ciudad Lineal;7;Colina;Calle Arturo Soria, 175;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;444202,220000;4478730,310000
444355,29000000;4476807,18000000;15;Ciudad Lineal;5;San Pascual;Calle Verdaguer y Garcia, 5;Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;444355,290000;4476807,180000
444688,00000000;4473174,18000000;14;Moratalaz;3;Marroquina;Glorieta Corregidor Sancho de Córdoba S/N;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;444688,000000;4473174,180000
446962,63000000;4476913,48000000;20;San Blas - Canillejas;1;Simancas;Calle Alcalá, 510;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;446962,630000;4476913,480000
450102,96000000;4468607,43000000;18;Villa de Vallecas;3;Ensanche de Vallecas;Calle Alto del Retiro, s/n;Estación de servicio;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;450102,960000;4468607,430000
450281,09000000;4477078,14000000;20;San Blas - Canillejas;6;Rejas;Calle Deyanira, 10;Aparcamiento;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;NATURGY;450281,090000;4477078,140000
451189,45000000;4477428,74000000;20;San Blas - Canillejas;6;Rejas;Calle Nanclares de Oca, 5-17;Aparcamiento;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;451189,450000;4477428,740000
444372,20000000;4468663,38780000;18;Villa de Vallecas;1;Casco Histórico de Vallecas;Avenida Eje Central, 7;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;NATURGY;444372,200000;4468663,387800
441265,93150000;4475256,83140000;01;Centro;4;Justicia;Calle Génova 24;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;441265,931500;4475256,831400
441420,45860000;4479879,97660000;06;Tetuán;4;Almenara;Calle San Aquilino, 1 B;Aparcamiento;Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);IBERDROLA;441420,458600;4479879,976600
442609,18750000;4476593,96760000;05;Chamartín;2;Prosperidad;Avenida de América 9 A, planta -3;Aparcamiento;Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);IBERDROLA;442609,187500;4476593,967600
443799,34470000;4467813,07320000;18;Villa de Vallecas;18;Casco Histórico de Vallecas;Avda. de Madrid - Aparcamiento Este del Mercado Central de Pescados (Parcela C2);Mercamadrid; ;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes; ;443799,344700;4467813,073200
443840,59290000;4467591,35910000;18;Villa de Vallecas;18;Casco Histórico de Vallecas;Calle 29. Mercamadrid;Aparcamiento;Iniciativa privada;1;180 kW 2 conectores CC (CCS);DRIVE THE CITY;443840,592900;4467591,359100
