tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,same_as_wikidata_municipio,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Centro de trabajo con mas de 250 trabajadores,Privada,065,Getafe,https://wikidata.org/entity/Q8802,CALLE NAVE SECOS 4  ,CALLE,NAVE SECOS,4,,,28909,,442465,4459234,9-21,2021-416
Centro de trabajo con mas de 250 trabajadores,Privada,065,Getafe,https://wikidata.org/entity/Q8802,CALLE NAVE 41 4  ,CALLE,NAVE 41,4,,,28909,,442540,4459189,9-19,2021-417
Centros residenciales de mayores con 200 plazas,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Antonia Rodriguez Sacristan 14  ,CALLE,Antonia Rodriguez Sacristan,14,,,28044,EN RECEPCION. PUERTA DEL DESPACHO DEL DIRECTOR RESIDENCIAL SENIOR 2000,436922,4469409,24H,2018-696
Aeropuertos,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de la Hispanidad 0  ,AVDA,Hispanidad,0,,,28042,AEROPUERTO ADOLFO SUAREZ MADRID-BARAJAS PARQUE SATELITE DE BOMBEROS DEL AEROPUERTO DE MADRID BARAJAS,449721,4482599,,2021-450
Otros,Privada,065,Getafe,https://wikidata.org/entity/Q8802,CALLE Miguel Faraday 20  ,CALLE,Miguel Faraday,20,,,28906,Parque Empresarial La Carpetania 28906 GETAFE-P2 entrada INSYTE INSTALACIONES S.A.,440315,4460156,Horario de Oficina,2021-740
Centro de trabajo con mas de 250 trabajadores,Privada,148,Torrejon de Ardoz,https://wikidata.org/entity/Q489839,CALLE Mario Vargas Llosa 24  ,CALLE,Mario Vargas Llosa,24,,,28850,CENTRO LOGISTICO HyM - ENTRADA DE PERSONAL ,463469,4480678,L a V 4:30 a22:00 // S 4:30 as 19:00,2019-2595
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Candido Mateos 4  ,CALLE,Candido Mateos,4,,,28035,C.P. CANDIDO MATEOS 4 ,439120,4480316,,2022-2
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Privada,079,Madrid,https://wikidata.org/entity/Q2807,PLAZA de Manuel Becerra 17  ,PLAZA,Manuel Becerra,17,,,28028,Planta segunda ,443261,4475413,,2022-113
"Instalacion, centro o complejo deportivo con mas de 500 usuarios diarios",Publica,123,Rivas-Vaciamadrid,https://wikidata.org/entity/Q644481,RONDA de Gloria Fuertes  BAJA ,RONDA,Gloria Fuertes,,BAJA,,28522,SALA DE FITNESS ATRIO. HALL DE ENTRADA. CONTROL DE ACCESO AYTO. RIVAS-VACIAMADRID,454565,4466664,,2018-1106
Centro educativo,Privada,026,Brunete,https://wikidata.org/entity/Q1647090,CMNO de los Morales 0  ,CMNO,los Morales,0,,,28690,Recepcion Ilunion Fuego y Conduccion ,414182,4473751,L-V 8-18,2022-181
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24h,2022-199
Establecimiento publico con aforo igual o superior a 2000 personas,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CTRA del Parque de Atracciones 0  ,CTRA,Parque de Atracciones,0,,,28011,EDIFICIO ATENCION AL CLIENTE PARQUE DE ATRACCIONES,436262,4473840,,2022-173
Establecimiento publico con aforo igual o superior a 2000 personas,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CTRA del Parque de Atracciones 0  ,CTRA,Parque de Atracciones,0,,,28011,LA AVENTURA DE DORA NICKELODEON ,436226,4473522,,2022-174
Establecimiento publico con aforo igual o superior a 2000 personas,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CTRA del Parque de Atracciones 0  ,CTRA,Parque de Atracciones,0,,,28011,EDIFICIO VESTUARIOS PARQUE DE ATRACCIONES,436616,4473769,,2022-175
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,https://wikidata.org/entity/Q2807,CTRA a la Estacion de Hortaleza 11  ,CTRA,a la Estacion de Hortaleza,11,,,28033,CENTRO DEPORTIVO MUNICIPAL HORTALEZA AYUNTAMIENTO DE MADRID,444689,4481137,,2022-263
Establecimiento dependiente de una Administracion Publica,Publica,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de la Senda del Rey 8  ,CALLE,Senda del Rey,8,,,28008,CENTRO DEPORTIVO MUNICIPAL LA BOMBILLA ,437952,4476032,,2022-265
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE Gran Via 14  ,CALLE,Gran Via,14,,,28013,GV14 CAPITAL ,440689,4474581,24h,2022-279
Centro de trabajo con mas de 250 trabajadores,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Santa Barbara 2 7ª ,CALLE,Santa Barbara,2,7ª,,28004,EN ZONA DE REFUGIO BANCO DE SANTANDER,424567,4486015,,2018-1405
