codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2018-3137,Pública,Fuenlabrada,CMNO del Molino 0  ,28942,DENTRO DE LA ESTACIÓN HOSPITAL DE FUENLABRADA EN VESTÍBULO,430595,4459793,
2018-2690,Pública,Madrid,AVDA de la Capital de España Madrid 0  ,28042,DENTRO DE LA ESTACIÓN DE FERIA DE MADRID EN EL VESTIBULO PRINCIPAL,447760,4479378,
2018-2763,Pública,Madrid,CALLE de Velázquez 92  ,28006,DENTRO DE LA ESTACIÓN DE NUÑEZ DE BALBOA EN EL PASILLO DE COMUNICACIÓN L5,442060,4476019,
2018-2764,Pública,Madrid,CALLE de Velázquez 92  ,28006,DENTRO ESTACION NUÑEZ DE BALBOA VESTIBULO DE MARQUES DE SALAMANCA,442060,4476019,DE 6:00 A 1:30 H
2020-712,Pública,Torrejón de Ardoz,CALLE Cañada S/N  ,28850,PARQUE EUROPA AYUNTAMIENTO TORREJÓN DE ARDOZ,461577,4477684,LUNES A DOMINGO DE 9:00 A 22:00H.
2021-35,Pública,Loeches,AVDA María Moliner 1  ,28890,CENTRO MAYORES Y SERV. SOCIALES ,464809,4470596,
2018-2927,Pública,Madrid,AVDA de la Barranquilla 11  ,28033,"DENTRO DE LA ESTACIÓN DE SAN LORENZO, EN VESTÍBULO METRO DE MADRID",445788,4480626,
2020-814,Pública,Madrid,AVDA de Córdoba 0  ,28041,"EN GLORIETA DE MALAGA.ESTACION DE METRO HOSPITAL 12 DE OCTUBRE, EN VESTIBULO ACCESO A ANDÉN 2 DE LINEA 3",440927,4469665,
2018-2784,Pública,Madrid,CALLE de Miguel Ángel 33  ,28010,DENTRO ESTACION METRO GREGORIO MARAÑON ANDEN II LINEA 10,441365,4476589,DE 6:00 A 1:30 H
2017-53,Pública,Mejorada del Campo,CALLE de la Ciudad de París 24 BAJA ,28840,CEIP HENARES JUNTO A PUERTA DE ACCESO A LA VIVIENDA DE CONSERJERÍA,459206,4471913,
2018-585,Pública,Madrid,CALLE de Pont de Molins 31 BAJA ,28038,EN EL HALL DE ENTRADA COLEGIO PÚBLICO BILINGÜE MESONERO ROMANOS,445261,4471635,
2019-2715,Pública,Madrid,CTRA RECEPCION NAVE ENSAYOS 7  ,28031,,440496,4472971,
2018-2389,Pública,Valdemoro,CALLE Artemisa S/N  ,28341,HALL EDIFICIO PRINCIPAL C.E.I.P. PEDRO ANTONIO DE ALARCÓN,442063,4448558,7-21
2020-401,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 59 E.M.T.,442158,4481299,
2020-403,Pública,Leganés,CALLE del Maestro 14  ,28914,SERVICIO DE INSPECCIÓN. S.G.T. CONSEJERIA DE EDUCACION,436760,4464542,
2018-3095,Pública,Madrid,PLAZA de Santa Cristina 2  ,28011,"DENTRO ESTACIÓN PUERTA DEL ANGEL, EN VESTÍBULO ",438300,4473976,
2018-3094,Pública,Madrid,PASEO de Extremadura 156  ,28011,DENTRO ESTACIÓN ALTO DE EXTREMADURA EN PASILLO ACCESO ANDENES LINEA 6,437297,4473518,
2020-338,Pública,Madrid,CALLE de Jorge Juan 106  ,28009,PLANTA 3ª - IMPRENTA- INFORMÁTICA ENTRADA CAU ,443066,4474922,
2020-377,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 13 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-378,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 14 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-379,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 15 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2018-2967,Pública,Madrid,CALLE de Alcalá 640  ,28022,DENTRO ESTACIÓN CANILLEJAS VESTÍBULO PRINCIPAL CANILLEJAS,448432,4477780,
2020-407,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 56 ,442158,4481299,05:00-00:30
2020-659,Pública,Madrid,CALLE de la Poeta Ángela Figuera 3  ,28003,AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA ,439536,4477361,9 A 21 DIAS LABORABLES
2020-660,Pública,Madrid,CALLE de Santa María Magdalena 16  ,28016,AGENCIA ESTATAL DE ADMINSTRACION TRIBUTARIA ,443191,4479336,7 A 21 DIAS LABORABLES
2020-661,Pública,Madrid,CALLE de la Infanta Mercedes 37  ,28020,AGENCIA ESTATAL DE ADMINISTRACION TRIBUTARIA ,440760,4478554,DE 7 A 21 DIAS LABORABLES
2020-662,Pública,Madrid,AVDA del Llano Castellano 17  ,28034,AGENCIA ESTATAL DE ADMNISTRACION TRIBUTARIA ,441949,4482051,DE 7 A 21 DIAS LABORABLES
2020-177,Pública,Madrid,CALLE de la Princesa 56  ,28008,"DENTRO DE LA EST. DE ARGUELLES, EN PASILLO ACCESO A ANDENES DE LÍ NEA 6",439275,4475767,24h
2020-319,Pública,Rivas-Vaciamadrid,CALLE  1  ,28522,,455257,4467659,
2020-320,Pública,Rivas-Vaciamadrid,CALLE  2  ,28521,,455567,4464909,
2020-404,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 30 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-470,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 63 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-472,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 64 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-474,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 65 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-380,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 16 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-383,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 52 E.M.T.,442158,4481299,
2020-384,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 53 E.M.T.,442158,4481299,
2020-385,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 51 E.M.T.,442158,4481299,
2020-386,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 54 E.M.T.,442158,4481299,
2020-396,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 49 E.M.T.,442158,4481299,
