codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2019-2004,Pública,,"C/ SAN FERNANDO S/N, 28850, TORREJON DE ARDOZ   ",,EDIFICIO PPAL. HALL,458646,4479125,
2019-2005,Pública,,"AVDA. CANILLEJAS A VICALVARO 82, 28022, MADRID   ",,EDIFICIO DOCENTE. HALL,448023,4475118,
2019-1261,Pública,,"BULEVAR DE INDALECIO PRIETO 1, 28032, MADRID   ",,HALL ENTRADA,447463,4472895,
2019-1262,Pública,,"AVENIDA NUEVO VERSALLES 6BIS, 28942, FUENLABRADA   ",,JUNTO CONSERJERIA,429385,4460696,
2019-1263,Pública,,"CALLE CAÑADA REAL DE TOLEDO 24, 28320, PINTO   ",,HALL ENTRADA,440373,4454172,
2019-1264,Pública,,"CALLE TEMBLEQUE 58, 28024, MADRID   ",,CONSERJERIA,435362,4471896,
2019-1265,Pública,,"CALLE MARITORNES C/V INSULA MALINDRANIA, 28906, GETAFE   ",,HALL ENTRADA,439947,4462945,
2019-1266,Pública,,"CALLE MURCIA 14, 28945, FUENLABRADA   ",,EDIF. PPAL. PASILLO ACCESO,432491,4460360,
2019-1267,Pública,,"CALLE ISLANDIA 1, 28942, FUENLABRADA   ",,MODULO 3. JUNTO ESCALERA,431257,4460430,
2019-1268,Pública,,"CALLE NUESTRA SEÑORA DE LA LUZ 53, 28047, MADRID   ",,HALL ENTRADA,436200,4470879,
2019-1269,Pública,,"CALLE EXTREMADURA 40, 28944, FUENLABRADA   ",,HALL ENTRADA,432833,4459057,
2019-1270,Pública,,"CALLE ELFO 143, 28027, MADRID   ",,JUNTO CONSERJERIA,445535,4476522,
2019-1271,Pública,,"CALLE COMUNIDAD DE MADRID 4, 28944, FUENLABRADA   ",,PABELLON DIRECCION,431978,4458706,
2019-1272,Pública,,"CALLE BUREBA 22, 28915, LEGANES   ",,EDIFICIO DIRECCION. HALL,436188,4464891,
2019-1273,Pública,,"AVENIDA CONSTITUCION 9, 28850, TORREJON DE ARDOZ   ",,PASILLO ENTRADA PPAL.,459150,4478473,
2019-1274,Pública,,"CALLE ALAMO 6, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,461097,4477140,
2019-1275,Pública,,"CALLE PEDREZUELA 18, 28017, MADRID   ",,HALL ENTRADA,444558,4475450,
2019-1276,Pública,,"CALLE ARADOS 9, 28944, FUENLABRADA   ",,PABELLON PPAL. HALL,432332,4458820,
2019-1277,Pública,,"CALLE JOAQUIN BLUME S/N, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,460104,4477373,
2019-1278,Pública,,"AVENIDA DE LA MANCHA 1A, 28915, LEGANES   ",,HALL ENTRADA,435608,4464514,
2019-1279,Pública,,"CALLE MAQUEDA 130, 28024, MADRID   ",,HALL ENTRADA,435282,4471172,
2019-1280,Pública,,"CALLE DALI 50, 28342, VALDEMORO   ",,HALL ENTRADA,441556,4449693,
2019-1281,Pública,,"CALLE VIRGEN DEL VAL 3, 28027, MADRID   ",,EDIF PPAL. HALL ENTRADA,444461,4476482,
2019-1282,Pública,,"CALLE ANGEL LUIS DE LA HERRAN 35, 28043, MADRID   ",,HALL ENTRADA,445141,4480211,
2019-1283,Pública,,"AVENIDA JOSE HIERRO 86, 28521, RIVAS-VACIAMADRID   ",,HALL ENTRADA,436074,4460343,
2019-1284,Pública,,"AVENIDA GUADALAJARA C/V FRANCFORT, 28022, MADRID   ",,HALL ENTRADA,448451,4474973,
2019-146,Pública,Valdilecha,CALLE del Agua 41  ,28511,- -,454531,4460791,HORARIO DEPORTIVO MUNICIPAL
2019-528,Pública,Madrid,AVDA del Cerro Milano 1  ,28051,,447518,4468866,
2019-661,Pública,Madrid,CALLE de Silvano 99  ,28043,ESCUELA INFANTIL GRAN VIA (HALL ENTRADA) ,446226,4480890,
2019-663,Pública,Madrid,CALLE de Motilla del Palancar 13  ,28043,SALA DE ESTUDIOS ROSALIA DE CASTRO CENTRO INTEGRADO ,446310,4479601,
2019-846,Pública,Madrid,CALLE de O'Donnell 55 4ª ,28009,JUNTO A ASCENSORES CONSEJERÍA DE SANIDAD,443032,4474765,
2019-1509,Pública,,"C/ AVILA S/N, 28804, ALCALA DE HENARES   ",,ENTRADA DIRECCION,470984,4481841,
2019-1510,Pública,,"C/ ALALPARDO S/N, 28806, ALCALA DE HENARES   ",,PLANTA 5. HALL,468683,4482398,
2019-1511,Pública,,"C/ CUSTA TEATINOS 10, 28805, ALCALA DE HENARES   ",,HALL ENTRADA,469543,4482609,
2019-1512,Pública,,"C/ LUIS MADRONA 15, 28805, ALCALA DE HENARES   ",,HALL ENTRADA,470298,4482210,
2019-1513,Pública,,"C/ VIOLETA 19, 28803, ALCALA DE HENARES   ",,HALL ENTRADA,468571,4480542,
2019-1514,Pública,,"C/ SENDA PERDIDA S/N, 28805, ALCALA DE HENARES   ",,HALL ENTRADA,469956,4482761,
2019-1515,Pública,,"C/ RONDA FISCAL 44, 28803, ALCALA DE HENARES   ",,HALL ENTRADA,468371,4480180,
2019-1516,Pública,,"C/ GARDENIA S/N, 28803, ALCALA DE HENARES   ",,HALL ENTRADA,468464,4480442,
2019-1517,Pública,,"C/ SAN VIDAL 8, 28803, ALCALA DE HENARES   ",,HALL ENTRADA,468331,4480363,
2019-1518,Pública,,"AVDA. OESTE 4, 28922, ALCORCON   ",,HALL ENTRADA,429407,4465952,
2019-1519,Pública,,"C/ SAHAGUN S/N, 28925, ALCORCON   ",,HALL ENTRADA,430222,4467358,
2019-1520,Pública,,"C/ LOS ROBLES 4, 28922, ALCORCON   ",,HALL ENTRADA,428779,4465784,
2019-1521,Pública,,"C/ OLIMPICO FRANCISCO FERNANDEZ OCHOA 6, 28923, ALCORCON   ",,HALL ENTRADA,430384,4465772,
2019-1522,Pública,,"C/ REFERENDUM VIÑAGRANDE 3, 28925, ALCORCON   ",,EDIFICIO DIRECCION. HALL,431851,4467046,
2019-1523,Pública,,"C/ OLIMPICA CONCHITA PUIG 2, 28923, ALCORCON   ",,HALL ENTRADA,430364,4466269,
2019-1524,Pública,,"AVDA. DERECHOS HUMANOS 6, 28924, ALCORCON   ",,HALL ENTRADA,430784,4467292,
2019-1525,Pública,,"AVDA. OESTE 4, 28922, ALCORCON   ",,PASILLO CENTRAL,429391,4465963,
2019-1526,Pública,,"AVDA. VILLAVICIOSA 7, 28922, ALCORCON   ",,PASILLO ENTRADA,429196,4467061,
2019-1527,Pública,,"C/ CABO SAN VICENTE 1, 28924, ALCORCON   ",,CONSERJERIA,430742,4467255,
2019-1528,Pública,,"AVDA. PORTUGAL 12, 28921, ALCORCON   ",,EDIFICIO A. HALL,429494,4466848,
2019-1529,Pública,,"C/ CAMILO JOSE CELA 2, 28922, ALCORCON   ",,HALL ENTRADA,429508,4465338,
2019-1530,Pública,,"AVDA. LOS CASTILLOS S/N, 28925, ALCORCON   ",,HALL ENTRADA,431338,4467589,
2019-1531,Pública,,"C/ BERLIN C/V C/ ATENAS S/N, 28922, ALCORCON   ",,HALL ENTRADA,428745,4466532,
2019-1532,Pública,,"C/ LOS CANTOS 23, 28921, ALCORCON   ",,SALA PROFESORES,429973,4466037,
2019-589,Pública,Rivas-Vaciamadrid,AVDA de Covibar 4  ,28523,"EN EL PASILLO PRINCIPAL, SE VE DESDE AL VENTANA ",453713,4468327,L A V 9 A 17H
2019-590,Pública,Rivas-Vaciamadrid,CALLE de San Sebastián 1  ,28523,"EN EL SEGNDO DESPACHO, CLUSTRO DE PROFESORES ",454424,4469236,L A V DE 9H A 17H
2019-591,Pública,Rivas-Vaciamadrid,CALLE del Alcalde Francisco Santero 4  ,28521,AL FINAL DEL ÚNICO PASILLO ,455994,4464284,DE L A V DE 9 A 17H
2019-592,Pública,Rivas-Vaciamadrid,CALLE de los Picos de Urbión 29  ,28522,JUNTO AL MOSTRADOR DE INFORMACIÓN ,455192,4469377,L A V 9 A 21H
2019-778,Pública,Madrid,CALLE de Illescas 189  ,28047,,436017,4471571,8:30-14:30
2019-779,Pública,Arganda del Rey,AVDA de Valdearganda 6  ,28500,,461937,4461993,8:30-14:30
2019-780,Pública,Madrid,CALLE de Evaristo San Miguel SN  ,28008,OFICINA DE EMPLEO ,439336,4475397,8:30-14:30
2019-781,Pública,Madrid,CALLE de Méndez Álvaro SN  ,28053,,441750,4472547,8:30-14:30
2019-782,Pública,Madrid,PLAZA de Pablo Ruiz Picasso SN  ,28020,OFICINA DE EMPLEO ,441134,4477875,8:30-14:30
2019-783,Pública,Madrid,CALLE de la Virgen del Puig 5  ,28027,- -,444086,4476025,8:30-14:30
2019-1285,Pública,,"CALLE SALVADOR MARTINEZ 3, 28041, MADRID   ",,PLANTA 1º. HALL,440639,4468784,
2019-1286,Pública,,"CALLE MARIE CURIE 46, 28342, VALDEMORO   ",,ENTRADA INFANTIL,441493,4450190,
2019-1287,Pública,,"CALLE JUAN PEREZ ZUÑIGA 36, 28027, MADRID   ",,HALL ENTRADA,445145,4477266,
2019-1288,Pública,,"CALLE JUAN PEREZ ZUÑIGA 36, 28027, MADRID   ",,HALL ENTRADA,445145,4477266,
2019-1289,Pública,,"AVENIDA MAR EGEO S/N, 28341, VALDEMORO   ",,PASILLO PRINCIPAL,441177,4447865,
2019-1290,Pública,,"CALLE JUAN RAMON JIMENEZ 8, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,459518,4479502,
2019-1291,Pública,,"CALLE JUAN RAMON JIMENEZ 8, 28850, TORREJON DE ARDOZ   ",,EDIFICIO INFANTIL. HALL,459518,4479502,
2019-1292,Pública,,"CALLE PEDRO PATIÑO 3, 28914, LEGANES   ",,HALL ENTRADA,435702,4464342,
2019-1293,Pública,,"CALLE DUQUE DE LERMA 2, 28341, VALDEMORO   ",,HALL ENTRADA,442567,4448788,
2019-1644,Pública,,"AVDA. ABOGADOS DE ATOCHA 4, 28330, SAN MARTIN DE LAVEGA   ",,GIMNASIO,451794,4451759,
2019-1645,Pública,,"C/ PORTUGAL S/N, 28819, VILLALBILLA   ",,HALL ENTRADA,469498,4477581,
2019-1646,Pública,,"AVDA. QUEMADO S/N, 28817, LOS SANTOS DE LA HUMOSA   ",,HALL ENTRADA,478835,4483773,
2019-1647,Pública,,"C/ TURIN 13, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,459907,4479529,
2019-1648,Pública,,"AVDA. JEAN PAUL SARTRE S/N, 28830, SAN FERNANDO DE HENARES   ",,PASILLO PPAL.,455792,4473913,
2019-1649,Pública,,"AVDA. COVIBAR 3, 28523, RIVAS-VACIAMADRID   ",,HALL ENTRADA,453094,4468343,
2019-1650,Pública,,"C/ VALDELAGUILA S/N, 28810, VILLALBILLA   ",,HALL ENTRADA,474491,4476132,
2019-1651,Pública,,"AVDA. GABRIEL GARCIA MARQUEZ S/N, 28523, RIVAS-VACIAMADRID   ",,HALL ENTRADA,453467,4468110,
2019-1652,Pública,,"C/ LUIS RQUESENS 1, 28590, VILLAREJO DE SALVANES   ",,HALL ENTRADA,476465,4446357,
2019-1653,Pública,,"C/ JOAN MIRO 1, 28840, MEJORADA DEL CAMPO   ",,HALL ENTRADA,459286,4471424,
2019-1654,Pública,,"AVDA. LEVANTE 141, 28521, RIVAS-VACIAMADRID   ",,HALL ENTRADA,456339,4464742,
2019-1655,Pública,,"C/ JOSE SARAMAGO 1, 28522, RIVAS-VACIAMADRID   ",,JUNTO DESPACHOS,454681,4467247,
2019-148,Pública,"Rozas de Madrid, Las",AVDA Atenas 0  ,28232,FRENTE A ZOCO DE LAS ROZAS. EN EDIFICIO DE SECUNDARIA ,421865,4485840,DE L-V LECTIVOS DE 8:00 A 15:00 H.
2019-280,Pública,"Rozas de Madrid, Las",CMNO Garzo 79  ,28290,POLIDEPORTIVO SAN JOSÉ DE LAS MATAS ,424988,4489689,
2019-281,Pública,"Rozas de Madrid, Las",CALLE Comunidad de Aragón 0  ,28230,PUNTO LIMPIO DEL ABAJON ,424674,4482772,
2019-285,Pública,"Rozas de Madrid, Las",AVDA Nuestra Señora del Retamar 16  ,28232,CAMPO DE FUTBOL ANTONIO BENITO POLIDEPORTIVO DEHESA DE NAVALCARBÓN,424619,4484399,
2019-287,Pública,"Rozas de Madrid, Las",PLAZA Mayor 1  ,28231,CASA CONSISTORIAL ,425901,4482863,
2019-291,Pública,"Rozas de Madrid, Las",CALLE Principado de Asturias 28  ,28231,CENTRO CULTURAL PEREZ DE LA RIVA ,425630,4482450,
2019-292,Pública,"Rozas de Madrid, Las",PASEO Tren Talgo 4  ,28290,CENTRO DE ATENCIÓN ANIMAL ,425047,4487803,
2019-1533,Pública,,"C/ LA PAZ 6, 28924, ALCORCON   ",,HALL ENTRADA,430889,4466948,
2019-1534,Pública,,"C/ PARQUE GRANDE 1, 28924, ALCORCON   ",,HALL ENTRADA,430891,4466619,
2019-1535,Pública,,"C/ BERLIN 2, 28922, ALCORCON   ",,PASILLO DIRECCION,429153,4466949,
2019-1536,Pública,,"AVDA. ALCALDE JOSE ARANDA 45, 28923, ALCORCON   ",,SALA DE ACTOS,430121,4466217,
2019-1537,Pública,,"AVDA. OESTE S/N, 28922, ALCORCON   ",,HALL ENTRADA,429311,4465998,
2019-1538,Pública,,"C/ PABLO NERUDA S/N, 28922, ALCORCON   ",,HALL ENTRADA,429895,4465631,
2019-1539,Pública,,"C/ PARQUE FERIAL S/N, 28923, ALCORCON   ",,HALL ENTRADA,430006,4465755,
2019-1540,Pública,,"AVDA. RETAMAS 2, 28922, ALCORCON   ",,HALL ENTRADA,428727,4465827,
2019-1541,Pública,,"C/ PARQUE BUJARUELO 1, 28924, ALCORCON   ",,HALL ENTRADA,431387,4466611,
2019-1542,Pública,,"C/ OLIMPICO FERNANDEZ OCHOA S/N, 28923, ALCORCON   ",,VESTIBULO PPAL.,430443,4465748,
2019-1543,Pública,,"C/ MINISTRO FERNANDEZ ORDOÑEZ 2, 28924, ALCORCON   ",,HALL ENTRADA,431052,4466989,
2019-1544,Pública,,"AVDA. CANTARRANAS 44, 28921, ALCORCON   ",,HALL ENTRADA,430034,4466970,
2019-1545,Pública,,"C/ CLAUDIO SANCHEZ ALBORNOZ S/N, 28922, ALCORCON   ",,HALL ENTRADA,429076,4466201,
2019-1546,Pública,,"C/ POLVORANCA 35, 28923, ALCORCON   ",,HALL ENTRADA,430298,4466184,
2019-1547,Pública,,"AVDA. OESTE 2, 28922, ALCORCON   ",,PASILLO PPAL.,429216,4466090,
2019-1548,Pública,,"CAMINO DEL MOLINO 8, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,463202,4460796,
2019-1549,Pública,,"C/ SIETE VIENTOS S/N, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,462247,4461069,
2019-1550,Pública,,"CAMINO DE VALDEARGANDA 8, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,461899,4462066,
2019-1551,Pública,,"C/ MAR DE ALBORAN 1, 28500, ARGANDA DEL REY   ",,PASILLO PPAL.,463267,4460686,
2019-1552,Pública,,"C/ DOCTOR MARAÑON 7, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,462773,4461587,
2019-1553,Pública,,"AVDA. JUAN CARLOS I 15, 28982, PARLA   ",,HALL ENTRADA,434453,4453704,
2019-1554,Pública,,"AVDA. DE MEJICO 1, 28907, GETAFE   ",,HALL ENTRADA,421681,4462998,
2019-1555,Pública,,"C/ PINTO 76, 28982, PARLA   ",,PLANTA 2. HALL,435295,4454622,
2019-1556,Pública,,"C/ MIRASIERRA 59, 28950, MORALEJA DE EN MEDIO   ",,JUNTO SECRETARIA,427317,4457237,
2019-806,Pública,Griñón,CALLE del Villar 12  ,28971,VEHICULO DE POLICIA ,420729,4451982,24 HORAS
2019-807,Pública,Rivas-Vaciamadrid,PLAZA 19 de Abril 0 1 ,28521,"PRIMERA PLANTA, PASILLO PRINCIPAL NOHAY OTRO PASILLO EN VITRINA ",455966,4464231,L a V 08:00 A 19:30 H
2019-1313,Pública,Brunete,PLAZA Mayor 1  ,28690,AYUNTAMIENTO - RECEPCION - HALL DE ENTRADA ,415324,4473247,7:30 - 15:00
2019-1314,Pública,Brunete,CALLE del Campo 17  ,28690,CENTRO CULTURAL - CUARTO DE ORDENANZAS - HALL DE ENTRADA ,415177,4473050,8:00 a 14:00 Y 16:00 A 20:00 (L a V)
2019-1315,Pública,Brunete,CALLE Escorial 32  ,28690,C.P. BATALLA DE BRUNETE - PABELLON 1 - DESPACHO JEFE ESTUDIOS ,415050,4473340,HORARIO LECTIVO ESCOLAR DE L A V
2019-1316,Pública,Brunete,CALLE Miguel Indurain 1  ,28690,C.P. AGORA - HALL DE ENTRADA AL COLEGIO ,415528,4473542,HORARIO LECTIVO ESCOLAR DE L a V
2019-2006,Pública,,"AVDA. CANILLEJAS A VICALVARO 82, 28022, MADRID   ",,EDIFICIO REIDENCIA. HALL,448023,4475118,
2019-2007,Pública,,"AVDA. ALFONSO XIII 23, 28002, MADRID   ",,FRENTE CONSERJERIA,443374,4478049,
2019-2008,Pública,,"C/ MANRESA 60, 28034, MADRID   ",,SALA PROFESORES,441154,4482584,
2019-2009,Pública,,"C/ ALFONSO VI 1, 28005, MADRID   ",,HALL ENTRADA,439572,4473848,
2019-2010,Pública,,"PASEO MARQUES DE ZAFRA 16, 28028, MADRID   ",,PASILLO JUNTO HALL PPAL.,443458,4475271,
2019-2011,Pública,,"AVDA. VALLADOLID 2, 28008, MADRID   ",,HALL ENTRADA,438330,4475374,
2019-2012,Pública,,"C/ VALDERREY 9, 28035, MADRID   ",,HALL ENTRADA,438863,4480015,
2019-2013,Pública,,"C/ JOSE DE CADALSO 19, 28044, MADRID   ",,ED. INFANTIL - HALL,434509,4470380,
2019-2014,Pública,,"C/ JOSE DE CADALSO 19, 28044, MADRID   ",,DESPACHO DIRECCION,434509,4470380,
2019-2015,Pública,,"PASEO DEL PRADO 38, 28014, MADRID   ",,COMEDOR,441206,4473557,
2019-2016,Pública,,"C/ CASTILLO DE UCLES 28, 28037, MADRID   ",,HALL ENTRADA,447013,4475451,
2019-2017,Pública,,"C/ TABERNILLAS 2, 28005, MADRID   ",,HALL ENTRADA,439627,4473596,
2019-1656,Pública,,"C/ PABLO PICASSO 30, 28840, MEJORADA DEL CAMPO   ",,HALL ENTRADA,458515,4472183,
2019-1657,Pública,,"C/ SALVADOR DALI 8, 28810, VILLALBILLA   ",,HALL ENTRADA,470236,4477646,
2019-1658,Pública,,"C/ PARAISOS S/N, 28813, TORRES DE LA ALAMEDA   ",,HALL ENTRADA,469491,4472038,
2019-1659,Pública,,"AVDA. CERRO DEL TELEGRAFO 2, 28522, RIVAS-VACIAMADRID   ",,HALL ENTRADA,455070,4467483,
2019-1660,Pública,,"C/ RONDA PONIENTE 5, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,459054,4478747,
2019-1661,Pública,,"CTRA. MEJORADA S/N, 28830, SAN FERNANDO DE HENARES   ",,HALL ENTRADA,454816,4474959,
2019-1662,Pública,,"C/ SAN CRISTOBAL 2, 28330, SAN MARTIN DE LA VEGA   ",,HALL ENTRADA,450014,4452059,
2019-1663,Pública,,"C/ MONTSERRAT ROIG 8, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,462740,4478529,
2019-1664,Pública,,"AVDA. JUAN GRIS 33, 28840, MEJORADA DEL CAMPO   ",,HALL ENTRADA,459008,4471208,
2019-1665,Pública,,"PASEO DE LAS PROVINCIAS S/N, 28523, RIVAS-VACIAMADRID   ",,VESTIBULO,454440,4469350,
2019-1666,Pública,,"C/ LISBOA 53, 28850, TORREJON DE ARDOZ   ",,EDIFICIO 2. ESCALERILLAS,460081,4479574,
2019-1667,Pública,Rivas-Vaciamadrid,CMNO de la Partija 0  ,28523,"CAMINO LA PARTIJA S/N, 28523, RIVAS-VACIAMADRID HALL ENTRADA",453394,4469094,
2019-1668,Pública,,"C/ RIO S/N, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,459888,4477836,
2019-1669,Pública,,"C/ JUAN DE AUSTRIA 40, 28330, SAN MARTIN DE LA VEGA   ",,PLANTA 1. PASILLO PPAL.,449771,4458633,
2019-1670,Pública,,"C/ VITORIA S/N, 28830, SAN FERNANDO DE HENARES   ",,HALL ENTRADA,455419,4474556,
2019-1671,Pública,,"C/ BUDAPEST 2, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,460789,4479251,
2019-1672,Pública,,"AVDA. MIGUEL HERNANDEZ 1, 28523, RIVAS-VACIAMADRID   ",,JUNTO SECRETARIA,453452,4467567,
2019-1673,Pública,,"C/ OLIVAR 14, 28891, VELILLA DE SAN ANTONIO   ",,CONSERJERIA,458949,4469096,
2019-1674,Pública,,"C/ PLATA 85, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,461783,4478469,
2019-1675,Pública,,"C/ FERNANDO TRUEBA 10, 28521, RIVAS-VACIAMADRID   ",,JUNTO CONSERJERIA,456200,4467022,
2019-1676,Pública,,"AVDA. CIRCUNVALACION 3, 28510, CAMPO REAL   ",,HALL ENTRADA,468089,4464780,
2019-1677,Pública,,"C/ HERMANOS PINZON 21, 28936, MOSTOLES   ",,VESTIBULO,427683,4463908,
2019-1678,Pública,,"AVDA. ALCORCON 5, 28936, MOSTOLES   ",,PASILLO PPAL.,427623,4464613,
2019-1679,Pública,,"C/ MORALEJA DE ENMEDIO 21, 28935, MOSTOLES   ",,FRENTE SECRETARIA,426295,4463113,
2019-484,Pública,Madrid,CTRA de Canillas 2  ,28043,JUNTA MUNICIPAL DE HORTALEZA EDIFICIO 2 - PLANTA BAJA,444251,4479305,
2019-487,Pública,Collado Villalba,CALLE Isla de Sálvora 153  ,28400,,413867,4497179,8:30 A 21:30
2019-753,Pública,Pinto,CLLON de San Pedro 6  ,28320,O.EMPLEO ,440293,4454626,8:30-14:30
2019-754,Pública,Madrid,CALLE de Canillas 104  ,28002,SEPE ,443336,4477203,8:30-14:30
2019-755,Pública,Madrid,GTA del Puente de Segovia 3  ,28011,OFICINA DE EMPLEO ,438543,4474004,8:30-14:30
2019-756,Pública,Madrid,CALLE de Tejares 2  ,28019,,438788,4471953,8:30-14:30
2019-757,Pública,Madrid,AVDA del Ingeniero Emilio Herrera 23  ,28050,O.EMPLEO ,444660,4482651,8:30-14:30
2019-828,Pública,"Cabrera, La",PLAZA de la Concepción 2  ,28751,NADA MAS ENTRAR A LA IZQUIERDA ,448240,4523846,L a V 09:00 a 15:00
2019-1557,Pública,,"C/ GOYA 10, 28001, MADRID   ",,CONSERJERIA,442371,4479157,
2019-1558,Pública,,"C/ SAN FERNANDO S/N, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,458693,4479039,
2019-1559,Pública,,"C/ SAETA S/N, 28909, GETAFE   ",,CONSERJERIA,444086,4464010,
2019-1560,Pública,,"AVDA. DE LAS CIUDADES 33, 28903, GETAFE   ",,HALL ENTRADA,439099,4462942,
2019-1561,Pública,,"C/ RIO EBRO 9, 28935, MOSTOLES   ",,HALL ENTRADA,425548,4463064,
2019-1562,Pública,,"C/ CARMEN LAFORET 1, 28220, MAJADAHONDA   ",,JUNTO RECEPCION,426157,4480092,
2019-1563,Pública,,"C/ DESARROLLO 50, 28938, MOSTOLES   ",,HALL ENTRADA,426493,4462838,
2019-1564,Pública,,"C/ JUAN ALVAREZ MENDIZABAL 20, 28008, MADRID   ",,HALL ENTRADA,439352,4475184,
2019-1565,Pública,,"C/ REYES CATOLICOS 79, 28982, PARLA   ",,HALL ENTRADA,435118,4453738,
2019-1566,Pública,,"C/ RODETAS 19, 28694, CHAPINERIA   ",,PASILLO ENTRADA,397698,4470402,
2019-1567,Pública,,"C/ LEONOR DE CORTINAS 2, 28500, ARGANDA DEL REY   ",,HALL ENTRADA,462133,4461177,
2019-1568,Pública,,"AVDA. DEL MONTE 16, 28223, POZUELO DE ALARCON   ",,HALL ENTRADA,428418,4475394,
2019-1569,Pública,,"C/ PLATA 78, 28850, TORREJON DE ARDOZ   ",,HALL ENTRADA,461566,4478396,
2019-1570,Pública,,"C/ LUIS MORALES 2, 28982, PARLA   ",,HALL ENTRADA,435415,4454763,
2019-1571,Pública,,"PASEO DE ARROYOMOLINOS 44, 28938, MOSTOLES   ",,PASILLO ENTRADA,425718,4462895,
2019-1572,Pública,,"C/ PRINCIPE DE VERGARA 61, 28006, MADRID   ",,HALL ENTRADA,442352,4476085,
2019-1573,Pública,,"AVDA. DE LAS CIUDADES 35, 28903, GETAFE   ",,HALL ENTRADA,439177,4462886,
2019-1574,Pública,,"C/ RAFAEL SANCHEZ FERLOSIO 17, 28830, SAN FERNANDO DE HENARES   ",,HALL ENTRADA,455413,4475156,
2019-1575,Pública,,"AVDA. DE LA TIERRA 2, 28523, RIVAS-VACIAMADRID   ",,SECRETARIA,421613,4459533,
2019-1576,Pública,,"C/ JERONIMO DEL MORAL 104, 28350, CIEMPOZUELOS   ",,PASILLO PPAL.,446953,4446359,
2019-1577,Pública,,"AVDA. DE LAS FUERZAS ARMADAS 4, 28901, GETAFE   ",,HALL ENTRADA,437796,4461296,
2019-1578,Pública,,"C/ CAJA AHORROS Y MONTE PIEDAD 13, 28180, TORRELAGUNA   ",,CONTROL E INFORMACION,454345,4519822,
2019-1579,Pública,,"C/ FUENTE 4, 28680, SAN MARTIN DE VALDEIGLESIAS   ",,HALL ENTRADA,381288,4469047,
2019-1580,Pública,,"C/ CUBA 15, 28945, FUENLABRADA   ",,JUNTO CONSERJERIA,433159,4460366,
2019-1680,Pública,,"C/ VALDEHONDILLO 1, 28970, HUMANES DE MADRID   ",,HALL ENTRADA,430246,4456484,
2019-1681,Pública,,"C/ ESTUDIANTES 3, 28690, BRUNETE   ",,HALL ENTRADA,414998,4474150,
2019-1682,Pública,,"PASEO DE LA PUERTA DEL ANGEL 5, 28011, MADRID   ",,HALL ENTRADA,437849,4474108,
2019-1683,Pública,,"C/ SAN NICASIO 24, 28990, TORREJON DE VELASCO   ",,PABELLON PRIMARIA,433889,4448519,
2019-1684,Pública,,"C/ MAGALLANES 14, 28933, MOSTOLES   ",,HALL ENTRADA,425701,4464877,
2019-1685,Pública,,"C/ GUADALAJARA 2, 28901, GETAFE   ",,PASILLO DE DIRECCION,437745,4461979,
2019-1686,Pública,,"C/ PINTOR ROSALES 1, 28982, PARLA   ",,JUNTO DIRECCION,435247,4454969,
2019-1687,Pública,,"C/ FELIPE II 11, 28982, PARLA   ",,HALL ENTRADA,435216,4454293,
2019-1688,Pública,,"C/ BERLIN 2, 28938, MOSTOLES   ",,JUNTO DESPACHO AMPA,426567,4463524,
2019-1689,Pública,,"C/ ZARAGOZA 15, 28903, GETAFE   ",,HALL ENTRADA,439409,4462594,
2019-1690,Pública,,"C/ PEDRO DE TOLOSA 2, 28630, VILLA DEL PRADP   ",,HALL ENTRADA,389135,4458837,
2019-1691,Pública,,"C/ ROMERO 2, 28221, MAJADAHONDA   ",,HALL ENTRADA,427303,4481028,
2019-1692,Pública,,"C/ PINTOR VELAZQUEZ 64, 28935, MOSTOLES   ",,HALL ENTRADA,425099,4463778,
2019-1693,Pública,,"C/ NUEVA YORK 14, 28938, MOSTOLES   ",,JUNTO DIRECCION,427160,4463263,
2019-1694,Pública,,"C/ FELIPE II 13, 28982, PARLA   ",,PABELLON . HALL,415261,4476841,
2019-1695,Pública,,"C/ JOAQUIN TURINA 34, 28222, MAJADAHONDA   ",,HALL ENTRADA,426546,4477943,
2019-1696,Pública,,"C/ CAMINO DE HUMANES 63, 28936, MOSTOLES   ",,PASILLO DE DIRECCION,427303,4462699,
2019-1697,Pública,,"C/ LOS ANGELES 13, 28944, FUENLABRADA   ",,EDIFICIO DIRECCION. HALL,432929,4459865,
